item,year,worry,actual,expected,unexpected
Unemployment,1979,37.333333333333336,5.4,15.885927380916954,21.447405952416382
Unemployment,1980,46,6.8,30.01891029175892,15.981089708241079
Unemployment,1982,86.33333333333333,10.7,69.38936268624727,16.94397064708606
Unemployment,1983,81.57142857142857,11.5,77.46535292101413,4.106075650414439
Unemployment,1984,75.7,11.8,80.4938492590517,-4.793849259051697
Unemployment,1985,82.41666666666667,11.4,76.45585414166828,5.9608125249983885
Unemployment,1986,80.16666666666667,11.3,75.44635536232241,4.720311304344264
Unemployment,1987,67.4,10.4,66.36086634820973,1.03913365179028
Unemployment,1988,47,8.6,48.18988831998431,-1.1898883199843127
Unemployment,1989,28.833333333333332,7.2,34.05690540914235,-5.22357207580902
Unemployment,1990,22.416666666666668,7.1,33.04740662979649,-10.630739963129823
Unemployment,1991,46.5,8.9,51.21838465802188,-4.718384658021883
Unemployment,1992,61.81818181818182,9.9,61.31337245148044,0.5048093667013802
Unemployment,1993,68.83333333333333,10.4,66.36086634820973,2.472466985123603
Unemployment,1994,60.666666666666664,9.5,57.27537733409702,3.3912893325696416
Unemployment,1995,50.916666666666664,8.6,48.18988831998431,2.7267783466823516
Unemployment,1996,43,8.1,43.142394423255034,-0.14239442325503404
Unemployment,1997,34.63636363636363,6.9,31.028409071104782,3.6079545652588507
Unemployment,1998,33.916666666666664,6.2,23.961917615683795,9.954749050982869
Unemployment,1999,22.416666666666668,6,21.94292005699208,0.47374660967458837
Unemployment,2000,15.666666666666666,5.4,15.885927380916954,-0.2192607142502876
Unemployment,2001,11.7,5.1,12.857431042879377,-1.1574310428793773
Unemployment,2002,7.75,5.2,13.866929822225238,-6.116929822225238
Unemployment,2003,8.25,5,11.84793226353353,-3.5979322635335294
Unemployment,2004,7.083333333333333,4.8,9.828934704841814,-2.7456013715084806
Unemployment,2005,7.3,4.8,9.828934704841814,-2.528934704841814
Unemployment,2006,6.2727272727272725,5.4,15.885927380916954,-9.61320010818968
Unemployment,2007,7.111111111111111,5.3,14.876428601571092,-7.7653174904599815
Unemployment,2008,9.166666666666666,5.7,18.914423718954517,-9.74775705228785
Unemployment,2009,24.333333333333332,7.6,38.094900526525755,-13.761567193192423
Unemployment,2010,24.363636363636363,7.9,41.12339686456334,-16.759760500926976
Unemployment,2011,28.25,8.1,43.142394423255034,-14.892394423255034
Unemployment,2012,34.72727272727273,7.9,41.12339686456334,-6.396124137290613
Unemployment,2013,31.09090909090909,7.6,38.094900526525755,-7.0039914356166655
Unemployment,2014,27,6.2,23.961917615683795,3.038082384316205
