item,year,resid,z
Unemployment,1979,21.447405952416382,2.6793171179356157
Unemployment,1980,15.981089708241079,1.9964375791437312
Unemployment,1982,16.94397064708606,2.116725477256212
Unemployment,1983,4.106075650414439,0.5129514870983517
Unemployment,1984,-4.793849259051697,-0.5988716028911215
Unemployment,1985,5.9608125249983885,0.7446544850443245
Unemployment,1986,4.720311304344264,0.5896848741416058
Unemployment,1987,1.03913365179028,0.12981376802591668
Unemployment,1988,-1.1898883199843127,-0.14864679445331394
Unemployment,1989,-5.22357207580902,-0.6525547243585774
Unemployment,1990,-10.630739963129823,-1.3280451548653092
Unemployment,1991,-4.718384658021883,-0.5894441878561306
Unemployment,1992,0.5048093667013802,0.06306330847180427
Unemployment,1993,2.472466985123603,0.30887292996969534
Unemployment,1994,3.3912893325696416,0.42365680869683786
Unemployment,1995,2.7267783466823516,0.34064277597445664
Unemployment,1996,-0.14239442325503404,-0.0177886228559402
Unemployment,1997,3.6079545652588507,0.45072371217661733
Unemployment,1998,9.954749050982869,1.2435969923927663
Unemployment,1999,0.47374660967458837,0.05918279365258524
Unemployment,2000,-0.2192607142502876,-0.027391144005244963
Unemployment,2001,-1.1574310428793773,-0.14459206921792783
Unemployment,2002,-6.116929822225238,-0.7641574378859763
Unemployment,2003,-3.5979322635335294,-0.4494716761666054
Unemployment,2004,-2.7456013715084806,-0.34299424228883824
Unemployment,2005,-2.528934704841814,-0.3159271596694296
Unemployment,2006,-9.61320010818968,-1.2009289918397437
Unemployment,2007,-7.7653174904599815,-0.970082261908703
Unemployment,2008,-9.74775705228785,-1.2177385176378375
Unemployment,2009,-13.761567193192423,-1.7191637362646872
Unemployment,2010,-16.759760500926976,-2.0937130253542677
Unemployment,2011,-14.892394423255034,-1.8604323242541412
Unemployment,2012,-6.396124137290613,-0.7990357867755628
Unemployment,2013,-7.0039914356166655,-0.8749736070159995
Unemployment,2014,3.038082384316205,0.3795324318501073
Unemployment,2015,2.280739285749714,0.2849213477571622
Unemployment,2016,4.744899849145659,0.5927565980198998
Unemployment,2017,6.709060412541604,0.838129349930156
Unemployment,2018,7.237556750579174,0.9041517532180844
Unemployment,2019,9.266053088616744,1.1575616515634568
Unemployment,2020,4.190062853849902,0.523443588210786
Unemployment,2021,3.356729520516568,0.41933942428998355
Unemployment,2022,4.4327197552834106,0.5537575008228035
Unemployment,2023,1.3375567505791732,0.16709427265880392
Unemployment,2024,0.5147730171784932,0.064308017474827
Unemployment,2025,-3.8870040305634417,-0.485583965710315
Inflation,1979,18.66881911240486,3.34728309761848
Inflation,1980,0.974269974978597,0.17468471894915397
Inflation,1982,-3.4704740950884734,-0.6222492815034841
Inflation,1983,3.347725527609196,0.6002407011692704
Inflation,1984,2.872989222354093,0.5151214013979013
Inflation,1985,-3.1113223485316297,-0.5578540691715447
Inflation,1986,-3.8283242879466783,-0.6864111277789062
Inflation,1987,-6.509820554299092,-1.1671982131668834
Inflation,1988,-6.353663669150993,-1.1391995862003998
Inflation,1989,-4.918149269032035,-0.8818146354450896
Inflation,1990,-8.829356156451208,-1.583086452731487
Inflation,1991,-8.232366073098289,-1.476047287403388
Inflation,1992,-3.675412537960243,-0.6589943472597379
Inflation,1993,2.041582384558449,0.36605176616057666
Inflation,1994,1.505876791488947,0.27000079120685133
Inflation,1995,-3.275685441652608,-0.5873240533287415
Inflation,1996,-2.860230520892941,-0.5128337909448064
Inflation,1997,-3.0682693536659853,-0.5501347506036194
Inflation,1998,-3.8906109876945747,-0.6975790123685659
Inflation,1999,1.2114501608227402,0.2172106667547429
Inflation,2000,-1.8972225537149092,-0.3401683281751197
Inflation,2001,-1.5029218489719978,-0.26947097573851
Inflation,2002,0.5149265840345905,0.09232533889131335
Inflation,2003,-2.911418105270412,-0.5220116256521329
Inflation,2004,-4.495933204943668,-0.806112113161454
Inflation,2005,-4.497219644696132,-0.8063427693167041
Inflation,2006,-4.858283128827567,-0.8710807524919402
Inflation,2007,-7.045625002743589,-1.2632669126978213
Inflation,2008,5.6443916814367725,1.0120284929568784
Inflation,2009,13.179169758887255,2.3629996042575208
Inflation,2010,2.410881557132927,0.43226639231771036
Inflation,2011,-1.3458703367907354,-0.24131194387824342
Inflation,2012,4.803667443091962,0.8612882658527526
Inflation,2013,6.461810616546272,1.158590124342939
Inflation,2014,6.285954019048065,1.1270593771185842
Inflation,2015,6.043392380991065,1.083568545357332
Inflation,2016,4.999998128973849,0.8964899774575114
Inflation,2017,-0.3642392278412663,-0.06530738786967774
Inflation,2018,-2.265244535941953,-0.4061539565774052
