year,n_backbench,n_frontbench,backbench_ratio,frontbench_ratio,fb_share
2020,594,901,0.31674580378812445,0.3628324361953663,0.6026755852842809
2021,635,855,0.32133082938971336,0.3697477995478512,0.5738255033557047
2022,614,878,0.35002326231548786,0.3842310969833014,0.5884718498659517
2023,591,903,0.3447609293599766,0.37456174907805434,0.6044176706827309
2024,655,840,0.3337572259103467,0.3713398958845387,0.5618729096989966
2025,732,764,0.3249487442336406,0.3650434419548217,0.5106951871657754
