year,n_backbench,n_frontbench,backbench_ratio,frontbench_ratio,backbench_n_career_sum,frontbench_n_career_sum,backbench_n_policy_sum,frontbench_n_policy_sum,fb_share
2020,594,901,0.003330161750713606,0.011862917398945518,3,13,1047,1124,0.6026755852842809
2021,635,855,0.010231316725978648,0.011748120300751879,11,12,1112,1051,0.5738255033557047
2022,614,878,0.011487303506650543,0.01027027027027027,9,9,817,915,0.5884718498659517
2023,591,903,0.00865051903114187,0.01,7,10,859,1039,0.6044176706827309
2024,655,840,0.00905624404194471,0.01635282457879088,9,16,1039,992,0.5618729096989966
2025,732,764,0.012630662020905924,0.0026371308016877636,14,2,1133,945,0.5106951871657754
