period,standalone_thr3,standalone_thr5,standalone_thr10
1979-88,2.135620928748769,2.4116997598734717,3.71284291746437
1989-97,2.9978346106105627,3.8971721047272028,5.502705394923966
1998-2009,2.8603988530679,3.291225636313663,4.451414445475074
2010-19,5.329744865630382,7.426338654417505,7.862334420704263
2020-25,5.10523225563467,6.269214939989588,7.657371924223031
