spec,equation,term,estimate,std_error,statistic,p_value,se_type
baseline,trust,prof_pc1,-1.0692360067800728,0.5502294975080294,-1.9432546085271802,0.05825635210099657,OLS
baseline,outcome_direct,prof_pc1,0.3131108812502821,0.10350334089545721,3.0251282571307283,0.004183197519388663,OLS
baseline,outcome_direct,prof2,0.3298386117702111,0.07293765625697825,4.522199213642186,4.7575711717192984e-5,OLS
baseline,outcome_direct,trust_pct,0.009742939302392149,0.029818040416107444,0.3267464651073817,0.7454448588021125,OLS
baseline,outcome_total,prof_pc1,0.30328029418166524,0.09802372880691587,3.0939477397259334,0.0034268688210631593,OLS
baseline,outcome_total,prof2,0.3194108955856269,0.06491602128105485,4.920370800341149,1.2536828982625907e-5,OLS
baseline,trust,prof_pc1,-1.0692360067800728,0.7313824688700223,-1.4619382502181524,0.15070699387294215,HAC
baseline,outcome_direct,prof_pc1,0.3131108812502821,0.10738570101818083,2.9157595311248294,0.005616288315327768,HAC
baseline,outcome_direct,prof2,0.3298386117702111,0.07163316929389507,4.604551425289535,3.653813869509184e-5,HAC
baseline,outcome_direct,trust_pct,0.009742939302392149,0.038319099996376206,0.2542580411156193,0.8005081848584821,HAC
baseline,outcome_total,prof_pc1,0.30328029418166524,0.11271276685838631,2.6907359532989754,0.010039657225244995,HAC
baseline,outcome_total,prof2,0.3194108955856269,0.06346512491166598,5.032856959317411,8.649660593452437e-6,HAC
trend_adjusted,trust,prof_pc1,0.44010158609595784,4.691510435647864,0.09380807996330993,0.9256973635312514,OLS
trend_adjusted,outcome_direct,prof_pc1,0.8844304684702503,0.9769096200992794,0.905334997499942,0.370577560259837,OLS
trend_adjusted,outcome_direct,prof2,-0.0778393637022596,0.33072046350669937,-0.23536300982682562,0.8150986517010457,OLS
trend_adjusted,outcome_direct,trust_pct,0.016422192072960938,0.030572476405770033,0.5371560960583988,0.594063197120865,OLS
trend_adjusted,outcome_total,prof_pc1,0.8786595700419236,0.968541475018622,0.9071987031066788,0.3694775582638602,OLS
trend_adjusted,outcome_total,prof2,-0.06234133448000387,0.3266571622296192,-0.19084637255307407,0.8495655088875311,OLS
trend_adjusted,trust,prof_pc1,0.44010158609595784,3.822680858460741,0.11512904225888511,0.9088787912867042,HAC
trend_adjusted,outcome_direct,prof_pc1,0.8844304684702503,0.6836136550668043,1.2937577561756308,0.20299021983055476,HAC
trend_adjusted,outcome_direct,prof2,-0.0778393637022596,0.24308501841534733,-0.3202145661204811,0.750431946448634,HAC
trend_adjusted,outcome_direct,trust_pct,0.016422192072960938,0.040485376657704325,0.4056326858906921,0.6871216248866424,HAC
trend_adjusted,outcome_total,prof_pc1,0.8786595700419236,0.719236793196539,1.221655480299964,0.22865079555535622,HAC
trend_adjusted,outcome_total,prof2,-0.06234133448000387,0.2518050769865519,-0.2475777503220609,0.8056674880771595,HAC
first_difference,trust,d_prof,6.130936503399269,6.3840431978053465,0.960353229675343,0.34212540002018577,OLS
first_difference,outcome_direct,d_prof,-0.1288287211360459,1.0648747751582344,-0.1209801604295704,0.9042703152832352,OLS
first_difference,outcome_direct,d_trust,0.006023989431633748,0.024886959176212472,0.24205405686491485,0.8098890081868948,OLS
first_difference,outcome_total,d_prof,-0.09189602443355116,1.0425515910245744,-0.08814530160875755,0.9301611577463388,OLS
first_difference,trust,d_prof,6.130936503399269,6.933574854832501,0.884238885677593,0.3813736823322592,HAC
first_difference,outcome_direct,d_prof,-0.1288287211360459,1.1277083038260103,-0.11423940100375672,0.909579775481089,HAC
first_difference,outcome_direct,d_trust,0.006023989431633748,0.02505794654828556,0.24040235779199967,0.8111608264384257,HAC
first_difference,outcome_total,d_prof,-0.09189602443355116,1.0766176267298397,-0.08535623247473638,0.9323654067163167,HAC
