year,theta_mean,theta_sd,trust_pct_pred,spec,n_anchor,r2,intercept,slope
1979,0.243599448065,0.16094601466720362,22.606178185785826,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1980,0.23176999877499999,0.15552430825567176,22.410540727635787,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1981,0.2151202777,0.1431491889535944,22.135184789234355,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1982,0.2015092237925,0.12963432710501205,21.91008284882049,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1983,0.18606116835,0.1081656988785094,21.654600262434464,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1984,0.171384359275,0.08324149591355542,21.411872680550015,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1985,0.149716119275,0.03818185510516329,21.053519616746065,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1988,0.292621462675,0.13602441922814928,23.416912658421143,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1989,0.3409755092,0.13517511808358557,24.216600160477263,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1990,0.392515281625,0.12059801231840343,25.068973743022827,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1992,0.46760578785,0.12890335264304706,26.310833394213617,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1993,0.478609533875,0.1534835873645741,26.49281523036548,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1995,0.503600862925,0.15428574455117128,26.906126109957,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1999,0.4559343425,0.06912281659332635,26.117809032281457,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
2004,0.21854443,0.02836110670209188,22.191814006357497,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
2006,0.29918542525,0.06025199922281408,23.525468595564433,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
2008,0.24192681975,0.03067909050958625,22.57851597227492,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
2014,0.3281027025,0.03426112065676134,24.003707478805794,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
2015,0.369294459,0.0635190738918306,24.684943801887005,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
2018,0.348302261,0.03552245049784328,24.337771236451182,A. All overlap years,22,0.0678380380922123,18.577488797305545,16.538171249900774
1979,0.243599448065,0.16094601466720362,18.768252078363226,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1980,0.23176999877499999,0.15552430825567176,18.3353007255835,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1981,0.2151202777,0.1431491889535944,17.725930070525195,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1982,0.2015092237925,0.12963432710501205,17.227772966373994,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1983,0.18606116835,0.1081656988785094,16.662382614069053,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1984,0.171384359275,0.08324149591355542,16.125219455604643,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1985,0.149716119275,0.03818185510516329,15.33217376172892,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1988,0.292621462675,0.13602441922814928,20.56243091298815,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1989,0.3409755092,0.13517511808358557,22.332162482239625,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1990,0.392515281625,0.12059801231840343,24.218489871311412,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1992,0.46760578785,0.12890335264304706,26.966761194348464,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1993,0.478609533875,0.1534835873645741,27.369492260721568,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1995,0.503600862925,0.15428574455117128,28.28416119033162,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
1999,0.4559343425,0.06912281659332635,26.53959269907043,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
2004,0.21854443,0.02836110670209188,17.85125216575257,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
2006,0.29918542525,0.06025199922281408,20.80266834135636,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
2008,0.24192681975,0.03067909050958625,18.70703479986412,B. Post-1990 only,20,0.5164176417909128,9.852645950756608,36.599451264879924
