"year","PC1_index","elect_vol","elect_vol_z","exec_instab","exec_instab_z","dislocation","dislocation_z","dept_churn","dept_churn_z","uturns","uturns_z","unexpected","unexpected_z"
1979,2.54201979899317,-0.535017248432046,-0.58814058216782,0.928268589576377,0.592441442513405,0.799562597032861,1.4682023655414,1,0.140639929453399,7,0.845348948954726,2.63674836413226,3.8963988672755
1980,0.578631741579804,-0.513284573009291,-0.565871292472123,-1.50551610619774,-0.960853511255822,0.042482197268532,0.0754191773783743,0,-0.593813035469905,6,0.480840686561404,1.93477471153361,2.84505834217767
1981,1.31913364398403,-0.491551897586536,-0.543602002776426,-0.329926996450415,-0.210566669922979,0.298168272167241,0.545798897520607,0,-0.593813035469905,10,1.93887373613469,1.22122780942055,1.77638465054784
1982,0.293869386164506,-0.469819222163781,-0.521332713080729,-0.804432072143401,-0.513406251785568,0.279476888875941,0.51141279477678,0,-0.593813035469905,7,0.845348948954726,0.507680907307476,0.707710958918
1983,0.177766352252694,-0.448086546741027,-0.499063423385031,0.721482218043938,0.460465829400503,0.452030828722525,0.82885626120971,1,0.140639929453399,3,-0.612684100618563,0.223787472709382,0.28252595162139
1984,-1.78658571063257,-0.585724237706348,-0.64009960754229,-1.38176988411907,-0.88187594901026,-0.0908872310349401,-0.169937455303985,0,-0.593813035469905,2,-0.977192363011885,-0.785707883332015,-1.22938745677427
1985,-1.6101448087959,-0.742804255148565,-0.801058180096284,-0.618812739025402,-0.394939908417224,-0.136272599352534,-0.253431860919305,0,-0.593813035469905,4,-0.248175838225241,-1.15316173030803,-1.77972024917873
1986,-2.14385621002421,-1.01856642607855,-1.08362935700368,-1.13427743996174,-0.723920824519135,-0.479673995043011,-0.885179414888872,0,-0.593813035469905,1,-1.34170062540521,-0.286788049152038,-0.482159069345896
1987,-1.95832975485894,-1.14309100984818,-1.21122865052179,-0.577419440607746,-0.368521794414104,-0.469158691722995,-0.865834656145795,0,-0.593813035469905,2,-0.977192363011885,-0.380656798349173,-0.622745570998567
1988,-1.46705678775079,-0.542775412262543,-0.596090307385136,-1.13427743996174,-0.723920824519135,-0.469158691722995,-0.865834656145795,0,-0.593813035469905,4,-0.248175838225241,-0.391148161597323,-0.638458404814295
1989,-0.764130344224502,-0.195542961607143,-0.240284136033786,0.927581363783612,0.592002839888507,-0.469158691722995,-0.865834656145795,0,-0.593813035469905,5,0.116332424168081,-0.551312117655282,-0.878334726440277
1990,0.42836469602303,0.0237181385683938,-0.01560913105516,1.4646467763087,0.934769805498774,0.0436518089428983,0.0775708847495381,0,-0.593813035469905,9,1.57436547374137,-0.777057543152178,-1.21643190900794
1991,-1.03856097114142,0.228810015307399,0.194546789856126,-1.50551610619774,-0.960853511255822,-0.0593413210748923,-0.111903179074755,0,-0.593813035469905,3,-0.612684100618563,-0.458346373331833,-0.73910064822195
1992,0.655052816076525,0.237873363904825,0.203833926925216,-0.0619547396714077,-0.0395408783121937,0.12058308722054,0.219099566594089,2,0.875092894376702,6,0.480840686561404,0.026941808486113,-0.0122882813937703
1993,1.54535224348017,1.0569188267417,1.04310292308219,-0.474586704325061,-0.302891679052001,0.421022397150697,0.771810771459889,0,-0.593813035469905,10,1.93887373613469,0.20319187823643,0.251680088635311
1994,0.16367205311305,0.273720292067948,0.240565972678295,-0.88678499580441,-0.56596570002801,-0.458643388402979,-0.846489897402718,0,-0.593813035469905,9,1.57436547374137,0.195613909646387,0.2403306235277
1995,-0.0589452438084023,-0.834330731095821,-0.8948445901009,-0.185700961750073,-0.118518440557756,-0.145618290998184,-0.270624912291219,1,0.140639929453399,8,1.20985721134805,-0.0788392679859936,-0.17071578372509
1996,-0.905764005276208,-0.876625872691981,-0.938184065918002,-1.50551610619774,-0.960853511255822,-0.192442010184255,-0.35676541851741,0,-0.593813035469905,7,0.845348948954726,-0.265170473978849,-0.44978259374772
1997,0.244562168096315,0.587628216674973,0.562224782505714,2.4750963655597,1.57966097058293,-0.458643388402979,-0.846489897402718,2,0.875092894376702,3,-0.612684100618563,-0.249738418468797,-0.426670123239439
1998,-1.32459106699791,-0.621290556634913,-0.676544115373134,-0.577419440607746,-0.368521794414104,-0.0125176018888218,-0.0257626728485648,0,-0.593813035469905,1,-1.34170062540521,-0.0983441145661863,-0.19992804200524
1999,-2.03141797196855,-0.688060565417989,-0.744962781720017,-0.88678499580441,-0.56596570002801,-0.591744077512341,-1.09135213684537,0,-0.593813035469905,1,-1.34170062540521,-0.300502606806633,-0.502699256563307
2000,-1.25173565168856,0.0103494928341455,-0.0293078698852356,-1.50551610619774,-0.960853511255822,-0.591744077512341,-1.09135213684537,0,-0.593813035469905,2,-0.977192363011885,0.414516803100879,0.568179798632655
2001,2.05884268620262,0.521434067327749,0.494396194478758,0.267890628146932,0.170973694421373,0.300507495515973,0.550102312262934,5,3.07845178914661,8,1.20985721134805,0.128907412381571,0.140424817088658
2002,-0.672189554800202,-0.20896942997943,-0.25404212523467,-0.948658106843742,-0.605454481150791,0.0237908139772327,0.0410330746345484,3,1.6095458593,1,-1.34170062540521,-0.345105082748915,-0.569500040758312
2003,-1.16196482445277,0.0433858848951109,0.00454424316551044,-0.763038773725744,-0.486988137782448,-0.325542699293617,-0.601627657960064,0,-0.593813035469905,3,-0.612684100618563,-0.417412987261264,-0.677795031627721
2004,-1.16043817616699,0.288457347333533,0.255666909244402,-0.990051405261399,-0.631872595153911,-0.591744077512341,-1.09135213684537,0,-0.593813035469905,4,-0.248175838225241,-0.431026926552659,-0.698184523498648
2005,-0.983623224035827,0.204554803052091,0.169692677887081,-0.701165662686411,-0.447499356659667,-0.591744077512341,-1.09135213684537,0,-0.593813035469905,5,0.116332424168081,-0.454943911561521,-0.734004807472113
2006,-0.842110316708799,0.0654788041187476,0.0271826716536877,0.144144406068267,0.0919961321758109,-0.336058002613633,-0.620972416703141,1,0.140639929453399,3,-0.612684100618563,-0.592708290645125,-0.940333455433978
2007,-0.807394055904681,-0.0779699724276778,-0.119808083017085,2.59884258763836,1.6586385328285,-0.591744077512341,-1.09135213684537,3,1.6095458593,0,-1.70620888779853,-0.876543513291881,-1.36543127914007
2008,-0.382697050746623,-0.133104192908941,-0.176303654968531,-0.701165662686411,-0.447499356659667,-0.469158691722995,-0.865834656145795,1,0.140639929453399,5,0.116332424168081,0.309350108377296,0.410672451107304
2009,-0.819454201866549,-0.367225364479049,-0.416205650105855,-0.433193405907404,-0.276473565048881,-0.591744077512341,-1.09135213684537,1,0.140639929453399,5,0.116332424168081,-0.173950875158329,-0.31316370418092
2010,-0.666462839315183,-0.507043674388555,-0.559476296152382,2.84633503179569,1.81659365731962,-0.458643388402979,-0.846489897402718,1,0.140639929453399,3,-0.612684100618563,-0.68018104265532,-1.07134072143279
2011,-1.52609800123862,-0.654085648332575,-0.710148969971363,-1.38176988411907,-0.88187594901026,0.289992192195957,0.530757553519857,0,-0.593813035469905,0,-1.70620888779853,-0.259849654232391,-0.441813643053512
2012,-1.39140476409579,-1.28521289951274,-1.35685975536617,-0.824911884765077,-0.526476918905229,-0.0803719277149242,-0.150592696560908,0,-0.593813035469905,3,-0.612684100618563,-0.041408838703625,-0.114656518493861
2013,-0.980326926648014,-1.38450220350089,-1.45860066996526,-1.31989677307974,-0.842387167887478,0.156891503086595,0.285895314077203,0,-0.593813035469905,4,-0.248175838225241,0.309215114483895,0.410470271794381
2014,-1.2978245516799,-0.528209084730049,-0.581164314091007,-0.55693962798607,-0.355451127294443,-0.1561335943182,-0.289969671034296,0,-0.593813035469905,0,-1.70620888779853,0.357341732165403,0.482549135890135
2015,-0.512860916198306,-0.0855428083432539,-0.127567904278915,-0.824911884765077,-0.526476918905229,-0.223987920144302,-0.414799694746639,0,-0.593813035469905,5,0.116332424168081,0.110787540213484,0.11328682430306
2016,1.14117796782844,-0.275574481208967,-0.322291760964025,2.04198458828437,1.30323950272347,-0.0440635118488696,-0.0837969490777951,3,1.6095458593,6,0.480840686561404,0.344063713005968,0.462662749009856
2017,0.708640741186391,0.109393102469293,0.072181283777055,-1.01053121788307,-0.644943262273573,0.644625083701138,1.18316742889348,1,0.140639929453399,6,0.480840686561404,0.20476176883993,0.254031301683437
2018,1.43989090730886,0.510333783972494,0.483021827497523,0.267890628146932,0.170973694421373,1.16651253681857,2.14327162792102,1,0.140639929453399,4,-0.248175838225241,0.453771057938402,0.626970593330473
2019,2.52764286030038,1.18659202087976,1.17597795433597,2.35135014348103,1.50068340833737,1.75679179415033,3.22919463714032,0,-0.593813035469905,4,-0.248175838225241,0.478027296997761,0.663298975478664
2020,2.70267827688991,1.27608732426204,1.26768303889899,-0.55693962798607,-0.355451127294443,1.08859632685213,1.99993099017578,3,1.6095458593,9,1.57436547374137,0.245627908055235,0.315236203181219
2021,1.05442945937119,0.64672535278004,0.622781120761786,-0.247574072789406,-0.158007221680537,0.858703364499461,1.57700225877359,1,0.140639929453399,6,0.480840686561404,-0.250754960878863,-0.428192590966292
2022,3.31156080583103,1.3952998410404,1.38983910205497,6.53806176097814,4.17273490066413,0.963940456908162,1.77060448797358,0,-0.593813035469905,7,0.845348948954726,0.329050409176892,0.440177439664295
2023,2.73508079742383,2.06473542129872,2.07580411001577,0.0203981839896013,0.0130185699302486,0.063244064714454,0.113614301624823,6,3.81290475406991,7,0.845348948954726,0.365575299220604,0.494880485762311
2024,1.81044713099821,3.01714356454331,3.05172872297197,2.72258880971703,1.73761609507406,-0.458643388402979,-0.846489897402718,1,0.140639929453399,4,-0.248175838225241,0.420636291661997,0.57734490945036
2025,2.10715139792207,3.29607531254379,3.3375477388418,0.0203981839896013,0.0130185699302486,-0.1561335943182,-0.289969671034296,0,-0.593813035469905,8,1.20985721134805,0.530951397395163,0.742562992434507
