year,v,lo,hi
1979,-0.5350172484320459,-1.1809786340332689,0.11094413716917706
1980,-0.5132845730092911,-2.05460326513896,1.0280341191203775
1981,-0.4915518975865362,-2.3753055435871695,1.392201748414097
1982,-0.46981922216378136,-2.4537193144126204,1.5140808700850577
1983,-0.44808654674102655,-2.3289530072642433,1.4327799137821904
1984,-0.5857242377063482,-2.4479964311711644,1.2765479557584682
1985,-0.7428042551485645,-2.487214239939801,1.0016057296426724
1986,-1.0185664260785523,-2.4790435341291635,0.44191068197205885
1987,-1.1430910098481784,-1.8221778541202163,-0.4640041655761403
1988,-0.5427754122625429,-1.9749219934809985,0.8893711689559126
1989,-0.19554296160714302,-1.8507492454895202,1.4596633222752344
1990,0.02371813856839383,-1.6306000487186327,1.6780363258554203
1991,0.22881001530739897,-1.1999417692652075,1.6575617998800052
1992,0.23787336390482472,-0.4267449952119856,0.902491723021635
1993,1.0569188267416978,0.34691619111344496,1.7669214623699507
1994,0.2737202920679478,-0.4379572591026013,0.9853978432384969
1995,-0.8343307310958206,-1.5458323288836044,-0.12282913330803669
1996,-0.8766258726919811,-1.581834320476605,-0.17141742490735723
1997,0.5876282166749731,0.07292130333991276,1.1023351300100335
1998,-0.6212905566349133,-1.3264897696171638,0.08390865634733735
1999,-0.6880605654179891,-1.399314893840426,0.023193763004447754
2000,0.010349492834145546,-0.6948497199266853,0.7155487055949764
2001,0.5214340673277487,0.006727161908862245,1.036140972746635
2002,-0.2089694299794297,-0.9141773472509457,0.4962384872920863
2003,0.04338588489511089,-0.6681015161382076,0.7548732859284293
2004,0.288457347333533,-0.422849791775293,0.999764486442359
2005,0.20455480305209114,-0.4957088325041372,0.9048184386083196
2006,0.06547880411874757,-0.6458881930605873,0.7768458012980823
2007,-0.07796997242767778,-0.7910208432224541,0.6350808983670986
2008,-0.13310419290894054,-0.8783263631519618,0.6121179773340808
2009,-0.36722536447904897,-1.700328107973987,0.9658773790158889
2010,-0.507043674388555,-1.7724358187176845,0.7583484699405746
2011,-0.6540856483325749,-1.889869953933991,0.5816986572688411
2012,-1.2852128995127394,-2.5131921953681284,-0.05723360365735042
2013,-1.384502203500888,-2.605638446925437,-0.1633659600763393
2014,-0.5282090847300489,-1.7245600526148595,0.6681418831547616
2015,-0.0855428083432539,-1.1649161955439946,0.9938305788574868
2016,-0.27557448120896744,-1.4677908193670106,0.9166418569490759
2017,0.10939310246929346,-1.0912065379538878,1.3099927428924745
2018,0.5103337839724943,-0.6790439414930852,1.6997115094380737
2019,1.1865920208797551,0.12219799493625882,2.250986046823251
2020,1.276087324262039,0.06509577381819254,2.4870788747058854
2021,0.6467253527800398,-0.6589258681414809,1.9523765737015606
2022,1.3952998410404025,-0.1846351638702386,2.975234845951044
2023,2.0647354212987157,0.4978334010009007,3.6316374415965305
2024,3.0171435645433067,1.764465030798228,4.269822098288385
2025,3.2960753125437936,1.459815978742397,5.13233464634519
2026,3.069652898415414,0.7820296416538794,5.357276155176949
