year,departures
1979,0
1980,0
1981,19
1982,5
1983,17
1984,2
1985,8
1986,6
1987,15
1988,6
1989,14
1990,15
1991,0
1992,17
1993,4
1994,10
1995,15
1996,0
1997,25
1998,15
1999,10
2000,0
2001,16
2002,9
2003,12
2004,2
2005,13
2006,14
2007,27
2008,13
2009,11
2010,31
2011,2
2012,11
2013,3
2014,9
2015,11
2016,18
2017,8
2018,16
2019,23
2020,9
2021,14
2022,45
2023,12
2024,29
2025,12
